"ID","Name","Existing practice","Existing muscle assignments","Every qualifying new category","Primary scheduling category","Training rationale","Decision","Demonstration or naming concerns","Confidence"
"105","Wide Turned-Out Squat","Bodyweight conditioning","Glutes;Quadriceps;Adductors","Strength","Strength","Repeated turned-out squats provide meaningful lower-limb strength and local-endurance work.","Keep","The reviewed full-body source keeps both feet, stance width, and squat depth visible throughout.","High"
"107","Half Squat","Bodyweight conditioning","Glutes;Quadriceps","Strength","Strength","Repeated partial squats can train lower-limb strength, particularly for users unable to tolerate deeper range.","Reconsider","The reduced range makes this a weaker catalog choice unless it is explicitly retained as an accessibility regression.","High"
"108","Second-Position Plié with Arm Sweep","Standing mobility and movement practice","Glutes;Quadriceps;Shoulders;Adductors;Trapezius;RotatorCuff","Strength;Mobility","Strength","The repeated deep second-position plié trains lower-limb strength through a broad hip range; the arm sweep is secondary.","Keep","Name and movement match; the arm sweep should not be represented as meaningful upper-body strengthening.","High"
"109","One-and-a-Half Sumo Squat","Bodyweight conditioning","Glutes;Quadriceps;Adductors","Strength","Strength","The extended time under tension makes this a legitimate lower-limb strength-endurance variation.","Reconsider","Accurate, but it is a tempo variant of an already crowded squat family.","High"
"110","Squat Pulse","Bodyweight conditioning","Glutes;Quadriceps","Strength","Strength","Continuous pulses in a loaded squat position provide a clear local muscular-endurance stimulus.","Keep","None observed.","High"
"111","Rainbow Squat Thruster","Bodyweight conditioning","Glutes;Quadriceps","Strength;Stamina","Stamina","Repeated squat-and-rise cycles with large arm arcs create sustained whole-body demand plus lower-limb strength work.","Keep","The name is unconventional but the repeated squat and overhead arc are clearly demonstrated.","High"
"112","Wide Squat with Overhead Reach","Bodyweight conditioning","Glutes;Quadriceps;Adductors;Trapezius","Strength;Mobility","Strength","A deep wide squat supplies the main strength stimulus while the overhead reach adds usable shoulder and trunk range.","Keep","None observed.","High"
"113","Bodyweight Overhead Squat","Bodyweight conditioning","Glutes;Core;Quadriceps;Trapezius","Strength;Mobility","Strength","Squatting with arms fixed overhead combines lower-limb strength with substantial shoulder, thoracic, hip, and ankle range demands.","Keep","The demonstrator is relatively small in a wide landscape frame, but alignment remains visible.","High"
"114","Hindu Squat","Bodyweight conditioning","Glutes;Core;Quadriceps","Strength;Mobility","Strength","Deep continuous squats with heel rise train lower-limb strength and usable knee, ankle, and hip range.","Keep","Wide framing, but the full movement is readable.","High"
"115","Sissy Squat","Bodyweight conditioning","Glutes;Quadriceps","Strength;Mobility","Strength","The unsupported backward lean creates high quadriceps demand through substantial knee and ankle excursion.","Reconsider","Accurate but advanced, with substantial anterior-knee and ankle demand and no regression or technique cue.","Medium"
"116","Cossack Squat","Bodyweight conditioning","Glutes;Core;Quadriceps;Adductors;Abductors","Strength;Mobility","Mobility","Deep alternating lateral squats strongly challenge usable frontal-plane hip and ankle range while also loading the legs.","Keep","The subject is small in the wide source, but both endpoints are visible.","High"
"117","Alternating Lateral Squat","Bodyweight conditioning","Glutes;Quadriceps;Adductors;Abductors","Strength;Mobility","Strength","Alternating side-to-side squats train lower-limb force across a meaningful lateral hip range.","Keep","None observed.","High"
"118","Squat to Knee Drive","Bodyweight conditioning","Glutes;Core;Quadriceps;HipFlexors","Balance;Strength;Stamina","Strength","A full squat followed by alternating unilateral knee drives combines leg strength with dynamic balance and sustained whole-body work.","Keep","Low-resolution landscape source, but the full sequence is understandable.","High"
"119","Squat to Calf Raise","Bodyweight conditioning","Glutes;Quadriceps;Calves","Balance;Strength","Strength","The squat and controlled rise onto the forefeet train lower-limb strength and balance without leaving the ground.","Keep","Dense inspection confirms a calf raise rather than a jump.","High"
"120","Duck Walk","Standing mobility and movement practice","Quadriceps;Shins","Strength;Mobility;Stepping","Strength","Locomotion in a deep squat produces substantial leg endurance and deep knee, hip, and ankle-range demand.","Reconsider","The deep duck walk is high-demand and potentially poorly tolerated; the demonstrator is also small in frame.","Medium"
"121","Alternating Forward Lunge","Bodyweight conditioning","Glutes;Quadriceps;HipFlexors","Balance;Strength;Stepping","Strength","Repeated forward steps into deep lunges train lower-limb force, deceleration, foot placement, and recovery balance.","Keep","Wide landscape framing, but the movement is clear.","High"
"122","Alternating Reverse Lunge","Bodyweight conditioning","Glutes;Quadriceps;HipFlexors","Balance;Strength;Stepping","Strength","Repeated backward steps into lunges train lower-limb strength, controlled step placement, and dynamic stability.","Keep","Wide landscape framing, but the movement is clear.","High"
"123","Alternating Lateral Lunge","Bodyweight conditioning","Glutes;Quadriceps;HipFlexors;Adductors;Abductors","Balance;Strength;Stepping;Mobility","Strength","Alternating lateral steps and deep side loading train leg strength, frontal-plane control, stepping, and hip range.","Keep","The source changes crop and angle, briefly reducing lower-body visibility, but the lateral lunge remains accurate.","High"
"124","Alternating Curtsy Lunge with Side Crunch","Bodyweight conditioning","Glutes;Core;Quadriceps;HipFlexors;Adductors;Abductors","Balance;Strength;Stepping","Strength","Cross-behind lunges and unilateral trunk motion create meaningful leg loading, directional stepping, and balance demand.","Keep","Mirrored source text is visible at the bottom, but the movement remains clear.","High"
"125","Alternating Reverse Lunge with Torso Twist","Bodyweight conditioning","Glutes;Core;Quadriceps;HipFlexors;MidBack","Balance;Strength;Stepping;Mobility","Strength","Reverse lunges train leg strength and backward stepping while deliberate rotation adds usable thoracic range and dynamic control.","Keep","None observed.","High"
"126","Alternating Back-Step Side Stretch","Stretching","Core;MidBack","","","The demonstrated back step and shallow side bend do not impose enough balance, strength, stamina, stepping, or range challenge to count as meaningful capacity training.","Remove","The demonstration is understandable, but the movement is a low-dose gesture and the name does not identify a specific mobility target.","High"
"127","Alternating Lunge with Overhead Stretch","Stretching","Glutes;Quadriceps;HipFlexors;Trapezius","Balance;Strength;Stepping;Mobility","Mobility","A long lunge with overhead reach trains usable hip-extension and shoulder range while the step and loaded stance add secondary strength and balance.","Keep","None observed.","High"
"128","Alternating Curtsy Squat with Arm Sweep","Bodyweight conditioning","Glutes;Quadriceps;Shoulders;Adductors;Abductors;Trapezius;RotatorCuff","Balance;Strength;Stepping","Strength","Alternating cross-behind squats meaningfully load the legs and challenge directional stepping and postural control.","Keep","The arm sweep is accurately shown but should not be treated as substantive upper-body strength work.","High"
"129","Squat to Alternating Front Kick","Bodyweight conditioning","Glutes;Quadriceps;HipFlexors","Balance;Strength;Stamina","Strength","Repeated squats and controlled front kicks combine leg strength, single-leg control, and a potentially sustained whole-body workload.","Keep","None observed.","High"
"130","Squat to Alternating Side Leg Lift","Bodyweight conditioning","Glutes;Quadriceps;Abductors","Balance;Strength","Strength","The squat supplies substantial leg loading and the unsupported side lift adds hip-abductor endurance and balance.","Keep","The reviewed full-body source clearly alternates the lateral leg raise after each squat.","High"
"131","Squat to Alternating Back Leg Lift","Bodyweight conditioning","Glutes;Quadriceps","Balance;Strength","Strength","Repeated squats plus unsupported hip-extension lifts train leg strength and dynamic single-leg control.","Keep","Wide framing, but the complete sequence is visible.","High"
"132","Squat to Alternating Oblique Crunch","Bodyweight conditioning","Glutes;Core;Quadriceps","Balance;Strength;Stamina","Strength","Repeated squats and standing knee-to-elbow actions train leg and trunk endurance with a sustained whole-body rhythm.","Keep","The subject is small in frame, but both components are demonstrated.","High"
"133","Goddess Squat to Star Pose","Yoga","Glutes;Quadriceps;Adductors","Strength;Mobility","Strength","Repeated transitions between a deep turned-out squat and tall reach train lower-limb endurance through a broad hip range.","Keep","Portrait source and modest resolution, but the exercise is accurate.","High"
"135","Mountain Pose to Upward Salute","Yoga","Shoulders;Chest;Trapezius","","","Moving from neutral standing to an unloaded overhead reach does not provide a meaningful capacity stimulus for this taxonomy.","Remove","The demonstration is accurate, but it is essentially an arm raise and is too slight to justify a training slot.","High"
"136","Goddess Pose","Yoga","Adductors","Strength;Mobility","Strength","A sustained deep wide squat is a clear lower-limb isometric-strength and local-endurance challenge with secondary hip-range demand.","Keep","The configured hold frame visibly reaches the deep final position.","High"
"138","Narrow-Squat Heel Raise","Bodyweight conditioning","Glutes;Quadriceps;Calves","Balance;Strength","Strength","A squat combined with bilateral heel raises trains leg and calf endurance with a meaningful reduced-base balance demand.","Keep","Low-resolution source, but the heel-rise pattern is visible.","High"
"139","Wide-Squat Heel Raise","Bodyweight conditioning","Glutes;Quadriceps;Calves","Balance;Strength","Strength","The wide squat and repeated heel rise produce legitimate lower-limb and calf endurance plus balance work.","Reconsider","Accurate but highly redundant with the narrow, sumo, and alternating-heel-lift variants.","High"
"140","Sumo-Squat Calf Raise","Bodyweight conditioning","Glutes;Quadriceps;Calves;Adductors","Strength","Strength","The demonstrated sumo-squat repetitions train lower-limb strength, but no reliable calf-raise stimulus is visible.","Remove","Dense frame inspection shows flat-footed sumo squats rather than the named calf raise; the media is not an exact demonstration.","High"
"141","Squat with Alternating Heel Lift","Bodyweight conditioning","Glutes;Quadriceps","Balance;Strength","Strength","Maintaining a squat while alternating heel lifts creates sustained leg loading and an ankle-strategy balance challenge.","Keep","The landscape source is small and the heel motion is subtle, though the on-video label and frames support the name.","High"
"142","Lateral Squat Walk","Bodyweight conditioning","Glutes;Quadriceps;Adductors;Abductors","Balance;Strength;Stepping","Stepping","Repeated lateral steps while holding a squat train controlled side stepping with substantial leg endurance and postural demand.","Keep","None observed.","High"
"143","Alternating Reverse Lunge to Front Kick","Bodyweight conditioning","Glutes;Quadriceps;HipFlexors","Balance;Strength;Stamina;Stepping","Strength","A backward lunge followed by a front kick combines leg force, backward stepping, single-leg control, and sustained compound work.","Keep","None observed.","High"
"144","Alternating Standing Knee Lift","Bodyweight conditioning","HipFlexors","Balance;Stepping","Balance","Deliberate alternating knee lifts create repeated single-leg stance and gait-like foot clearance.","Reconsider","Accurate, but the movement may be too easy to create a meaningful balance stimulus for many users unless cadence or hold time is specified.","Medium"
"145","Alternating Standing Knee-Extension Hold","Standing mobility and movement practice","Quadriceps;Shins","Balance;Strength","Balance","The unsupported straight-knee hold creates a balance demand and local quadriceps endurance.","Keep","The explicit hold name and frozen straight-knee endpoint now agree with the source's static-hold instruction.","High"
"146","Alternating Leg Curl with Back Squeeze","Standing mobility and movement practice","Hamstrings;UpperBack;MidBack;Trapezius","","","The unloaded heel curl and arm gesture do not create enough force, postural difficulty, range, or whole-body demand to qualify.","Remove","The human demo is understandable, but the claimed back squeeze is not visibly forceful and the exercise is a weak training stimulus.","High"
"147","Squat to Alternating Star Reach","Bodyweight conditioning","Glutes;Quadriceps;Shoulders;Trapezius","Balance;Strength;Stamina","Stamina","Continuous squats followed by large diagonal reaches create sustained whole-body work with secondary leg strength and balance.","Keep","None observed.","High"
"148","Alternating Straight-Leg Hip-Extension Lift","Standing mobility and movement practice","Glutes;Hamstrings","Balance;Strength;Mobility","Balance","The demonstration uses a pronounced unsupported hinge and rear-leg lift, strongly training single-leg control, posterior-chain endurance, and hip range.","Keep","The name understates the torso hinge and standing-scale position shown in the video.","High"
"150","Alternating Cross-Body Hip-Adduction Sweep","Standing mobility and movement practice","Adductors","Balance;Mobility","Balance","Alternating unsupported cross-body leg arcs create a legitimate postural-control and active hip-range challenge.","Reconsider","The adduction path is visually hard to distinguish from a knee or hip circle, and the small source reduces clarity.","Medium"
"151","Alternating Straight-Leg Front Raise","Standing mobility and movement practice","HipFlexors","Balance;Strength;Mobility","Mobility","High unsupported straight-leg raises train active hip-flexion range with secondary hip-flexor endurance and single-leg control.","Keep","The source is wide but the leg path is clear.","High"
"152","Alternating Side-Leg Raise Pulse","Bodyweight conditioning","Abductors","Balance;Strength;Mobility","Strength","Repeated high side-leg lifts and pulses train hip-abductor endurance while challenging the stance leg and active lateral range.","Keep","None observed.","High"
"154","Alternating Diagonal Leg Raise","Bodyweight conditioning","Core;HipFlexors;Abductors","Balance;Mobility","Mobility","If performed through the shown diagonal arc, the movement challenges active lateral hip and trunk range with a secondary balance demand.","Reconsider","The subject is small and the diagonal leg path is difficult to read; the title is nonspecific relative to the visible side bend.","Low"
"156","Alternating Curtsy-Lunge-to-Squat","Bodyweight conditioning","Glutes;Quadriceps;HipFlexors;Adductors;Abductors","Balance;Strength;Stamina;Stepping","Strength","Continuous curtsy lunges and squats provide substantial leg loading with cross-behind stepping, balance, and whole-body endurance demand.","Keep","None observed.","High"
"159","Alternating Standing Fire Hydrant","Standing mobility and movement practice","Glutes;Abductors","Balance;Strength;Mobility","Balance","Unsupported hip-abduction and rotation repetitions train stance control and modest hip-muscle endurance through active range.","Reconsider","The demonstrated range is small and the floor-exercise-derived name may imply a different movement; alternation appears created by mirroring.","Medium"
"160","Alternating Standing Donkey Kick","Standing mobility and movement practice","Glutes;Hamstrings","Balance;Strength;Mobility","Balance","A hinged single-leg stance with bent-knee hip extension creates meaningful balance and posterior-chain endurance demands.","Keep","The name can imply quadruped work; 'alternating hinged hip-extension pulse' would describe the standing demo more precisely.","Medium"
"161","Alternating Standing Gate Opener","Standing mobility and movement practice","HipFlexors;Abductors","Balance;Mobility","Mobility","Unsupported knee lifts followed by hip external-rotation arcs directly train active hip mobility with secondary balance.","Keep","Wide source framing, but the gate-opening path is clear.","High"
"168","Toy Soldier March","Standing mobility and movement practice","HipFlexors;Shins","Balance;Mobility;Stepping","Mobility","Alternating high straight-leg steps train active hamstring and hip range, gait-like foot clearance, and single-leg control.","Keep","The demo is a high toy-soldier toe-touch rather than an ordinary march; adding 'toe touch' would make the name more precise.","High"
"169","Alternating Standing Knee Drive","Standing mobility and movement practice","Core;HipFlexors","Balance;Stamina;Stepping","Stamina","Repeated vigorous knee drives provide sustained whole-body demand with gait-like clearance and alternating single-leg control.","Keep","The demonstrator is small in a very wide source, but the movement remains recognizable.","High"
"170","Alternating Cross-Body Knee Drive","Standing mobility and movement practice","Core;HipFlexors","Balance;Stamina;Stepping","Stamina","Continuous alternating knee lifts with large arm actions can provide aerobic work, repeated foot clearance, and dynamic balance.","Reconsider","The demonstration appears to show an overhead pull-down to a front knee rather than a clearly cross-body drive; rename or replace the clip.","Medium"
"171","Alternating Hamstring Sweep","Standing mobility and movement practice","Hamstrings;Shins","Balance;Mobility;Stepping","Mobility","Alternating step-and-hinge sweeps train dynamic hamstring range, deliberate foot placement, and controlled weight transfer.","Keep","The source includes text and mirroring, but the movement is exact and readable.","High"
"173","Alternating Side Knee Lift","Bodyweight conditioning","HipFlexors","Balance;Strength","Balance","Repeated unsupported side knee lifts create some single-leg control and local hip and trunk endurance.","Reconsider","Low resolution, modest range, and a relatively weak stimulus make it a marginal catalog choice.","Medium"
"174","Alternating Front Kick Toe Touch","Standing mobility and movement practice","Quadriceps;HipFlexors;Shins","Balance;Strength;Mobility","Mobility","Alternating high kicks with reaches strongly challenge active hamstring and hip range plus single-leg control.","Keep","None observed.","High"
"176","Alternating Back Kick","Standing mobility and movement practice","Quadriceps","Balance;Strength;Mobility","Strength","Controlled rear kicks train a power-oriented hip-extension pattern with significant single-leg balance and usable hip range.","Keep","The source is wide and mirrored, but the kick is accurately shown.","High"
"177","Alternating Roundhouse Kick Chamber","Standing mobility and movement practice","Quadriceps","Balance;Strength;Mobility","Balance","Repeated chambering and extension from single-leg stance strongly train rotational balance, hip control, and a power-strength facet.","Keep","Some frames progress beyond the chamber into kick extension; the name may underdescribe the demonstrated range.","High"
"178","Alternating Crescent Kick","Standing mobility and movement practice","Quadriceps;HipFlexors;Abductors","Balance;Strength;Mobility","Mobility","Large crescent-leg arcs train active multiplanar hip range while requiring dynamic balance and controlled force production.","Keep","None observed.","High"
"179","Alternating Axe-Kick Leg Raise","Bodyweight conditioning","Quadriceps;HipFlexors","Balance;Strength;Mobility","Mobility","High axe-kick arcs strongly challenge active hamstring and hip mobility with balance and controlled power demands.","Keep","The demo is a complete axe kick; 'leg raise' understates its speed and downward phase.","High"
"180","Alternating Karate Front Snap Kick","Karate","Quadriceps;HipFlexors","Balance;Strength;Mobility","Strength","Alternating snap kicks train rapid force production, single-leg postural control, and active hip and knee range.","Keep","None observed.","High"
"181","Alternating Karate Side Thrust Kick","Karate","Quadriceps;Abductors","Balance;Strength;Mobility","Strength","Alternating side thrust kicks provide a clear power-strength stimulus while demanding substantial balance and lateral hip range.","Keep","None observed.","High"
"182","Alternating Taekwondo Front-Kick Chamber","Taekwondo","Quadriceps;HipFlexors","Balance;Strength;Mobility","Balance","Repeated high front-kick chambers train controlled single-leg stance, hip-flexor endurance, and active hip range.","Keep","The clip appears to include some extension beyond a pure chamber; consider 'front-kick chamber and extension' if retained untrimmed.","High"
"183","Alternating Taekwondo Side-Kick Chamber","Taekwondo","Quadriceps;Abductors","Balance;Strength;Mobility","Balance","The high lateral chamber creates a strong single-leg-control challenge with meaningful hip strength and active range demands.","Keep","The clip includes extension beyond the chamber in some frames; the title may be slightly narrower than the demo.","High"
"184","Alternating Tai Chi Heel Kick","Tai Chi","Quadriceps;Shins","Balance","Balance","Controlled kicks create repeated unsupported single-leg phases and a genuine postural-control demand.","Keep","Low-resolution clip but the kick and alternation remain readable.","High"
"185","Alternating Tai Chi Toe Kick","Tai Chi","Quadriceps;Shins","Balance","Balance","Alternating raised-foot kicks repeatedly move the user into single-leg support.","Keep","Wide shot makes foot detail small but the balance demand is clear.","High"
"186","Alternating Tai Chi Lotus Kick","Tai Chi","Quadriceps;HipFlexors;Abductors","Balance;Stepping;Mobility","Balance","High circular kicks challenge single-leg control while the crossing transitions train foot-placement sequencing and the kick approaches meaningful active hip range.","Keep","The integrated crossing steps are important but are not stated in the name.","High"
"187","Second-Position Relevé Rise and Lower","Standing mobility and movement practice","Calves;Adductors","Balance;Strength","Strength","Repeated forefoot rises load the plantar flexors and reduce the support surface.","Keep","Heel movement is relatively small in the distant full-body clip.","High"
"188","Narrow Turned-Out Shallow Squat","Standing mobility and movement practice","Glutes;Quadriceps","Strength","Strength","Repeated bodyweight knee and hip flexion provides a real lower-limb local-endurance load.","Keep","The reviewed full-body source keeps the narrow turned-out stance and shallow depth continuously visible.","High"
"190","Ballet Grand Plie","Ballet","Glutes;Quadriceps;Adductors","Strength;Mobility","Strength","The deep turned-out squat combines substantial bodyweight leg loading with deliberate hip and ankle range.","Keep","A chair is visible but is not used.","High"
"191","Alternating Ballet Tendu Devant","Ballet","Calves;HipFlexors;Shins","Balance","Balance","The working leg slides away while bodyweight shifts mainly to the support leg.","Reconsider","The toe remains grounded so the balance dose may be too small for many users.","Medium"
"192","Alternating Ballet Tendu a la Seconde","Ballet","Calves;Adductors;Abductors;Shins","Balance","Balance","Lateral tendu transfers most weight to one support leg while controlling the extended foot.","Reconsider","The toe remains grounded and the range is too modest to qualify independently as Mobility.","Medium"
"193","Alternating Ballet Tendu Derriere","Ballet","Calves;Shins","Balance","Balance","Rearward tendu shifts support toward one leg and requires controlled return.","Reconsider","The toe remains grounded and the postural challenge is modest.","Medium"
"194","Alternating Ballet Degage Devant","Ballet","Calves;HipFlexors;Shins","Balance","Balance","The working foot clears the floor and creates repeated unsupported single-leg phases.","Keep","Lower-body crop does not show trunk alignment but clearly demonstrates the relevant foot action.","High"
"195","Alternating Ballet Degage a la Seconde","Ballet","Calves;Adductors;Abductors;Shins","Balance","Balance","Alternating lateral foot lifts produce genuine single-leg support and lateral postural control.","Keep","Lower-body crop omits whole-body posture.","High"
"196","Alternating Ballet Degage Derriere","Ballet","Calves;Shins","Balance","Balance","Alternating rearward foot lifts repeatedly require unsupported single-leg control.","Keep","Lower-body crop omits whole-body posture.","High"
"197","Parallel Squat-to-Calf Raise","Standing mobility and movement practice","Glutes;Quadriceps;Calves;Adductors","Balance;Strength","Strength","The shallow squat and forefoot rise combine bodyweight knee and calf loading with reduced-foot-contact control.","Keep","A single full-body demonstrator makes both phases continuously readable.","High"
"198","Wide Squat to Feet-Together Calf Raise","Standing mobility and movement practice","Glutes;Quadriceps;Calves;Adductors","Balance;Strength","Strength","The wide squat and feet-together forefoot rise train lower-limb force endurance and reduced-foot-contact control.","Keep","A single full-body demonstrator clearly shows the stance change, squat, and calf raise.","High"
"199","Horse-Stance Knee Bend","Standing mobility and movement practice","Glutes;Core;Quadriceps;Adductors","Strength","Strength","Repeated bent-knee work in a wide stance provides meaningful bodyweight lower-limb loading.","Keep","Watermark and end card reduce visual polish but the action is exact.","High"
"200","Good Morning to Squat","Bodyweight conditioning","Glutes;Core;Quadriceps;Hamstrings;LowerBack","Strength;Stamina;Mobility","Strength","Repeated deep hinges and squats load major lower-body muscles; traverse meaningful hip range; and can elevate breathing over 45 seconds.","Keep","None.","High"
"201","Alternating Boxing Jab","Boxing","Shoulders;Chest;Forearms;Triceps","","","Unloaded stationary jabs do not meaningfully load strength and isolated arm work does not satisfy the stamina definition.","Remove","Human clip matches the label but does not prescribe a trainable capacity dose.","High"
"203","Alternating Boxing Hook","Boxing","Shoulders;Chest;Forearms;Biceps","","","Unloaded hooks mainly rehearse a skill pattern without meaningful resistance or whole-body conditioning.","Remove","Human clip is accurate but the movement remains an unloaded stationary strike.","High"
"211","Alternating Karate Backfist Strike (Uraken-Uchi)","Karate","Shoulders;Forearms;Triceps","","","The stationary unloaded strike does not meet any frozen capacity threshold.","Remove","Instructional clip matches the strike but contains no qualifying load or step sequence.","High"
"212","Alternating Karate Palm-Heel Strike (Teisho)","Karate","Shoulders;Chest;Forearms;Triceps","","","The unloaded stationary palm strike does not provide meaningful strength or stamina training.","Remove","Accurate technique demonstration but no qualifying capacity dose.","High"
"213","Alternating Karate Hammer-Fist Strike (Tetsui-Uchi)","Karate","Shoulders;Forearms;Triceps","","","The unloaded arm strike is a technique gesture rather than a meaningful capacity stimulus.","Remove","Accurate human demonstration but no resistance or meaningful stepping.","High"
"214","Alternating Wing Chun Biu-Sau Palm Strike","Wing Chun","Shoulders;Forearms;Triceps","","","The close-up unloaded arm pattern does not meet the strength; stamina; mobility; balance; or stepping thresholds.","Remove","Upper-body-only clip confirms that no meaningful lower-body sequence is prescribed.","High"
"215","Self-Resisted Wrist Radial-Deviation Pulses","Self-resistance","Forearms","Strength","Strength","The opposing hand can provide scalable resistance to repeated wrist force.","Remove","Only one active wrist is prescribed; switching sides is absent and the long spoken clip is not a clean bilateral or naturally alternating demonstration.","High"
"216","Self-Resisted Wrist Ulnar-Deviation Pulses","Self-resistance","Forearms","Strength","Strength","Manual opposition can create a meaningful local wrist-strength stimulus.","Remove","Only one active wrist is prescribed; the demonstration does not satisfy the bilateral or naturally alternating requirement.","High"
"217","Self-Resisted Wrist-Extension Pulses","Self-resistance","Forearms","Strength","Strength","The opposite hand can resist repeated wrist extension and train local force endurance.","Remove","Only one active wrist is prescribed; neither bilateral execution nor side switching is demonstrated.","High"
"218","Self-Resisted Wrist-Flexion Pulses","Self-resistance","Forearms","Strength","Strength","Self-resistance can make repeated wrist flexion a genuine local-strength drill.","Remove","Only one active wrist is prescribed; neither bilateral execution nor side switching is demonstrated.","High"
"219","Four-Way Self-Resisted Wrist Sequence","Self-resistance","Forearms","Strength","Strength","The sequence can load wrist force in several directions through manual resistance.","Remove","Only one active wrist is prescribed and the long instructional clip does not demonstrate a bilateral or naturally alternating loop.","High"
"220","Interlocked Hook-Fist Pull-Apart Isometric","Self-resistance","Shoulders;Forearms;Biceps","Strength","Strength","A strong bilateral pull against interlocked hands provides meaningful isometric pulling force.","Keep","Effort is invisible; the label or instructions should cue a strong pain-free pull.","High"
"223","Alternating Karate Inside Block (Uchi-Uke)","Karate","Shoulders;Forearms;Triceps;Biceps;RotatorCuff","Balance;Strength;Stepping","Stepping","The clip integrates repeated forward steps into loaded long stances; training step initiation; termination; weight transfer; and lower-limb endurance.","Keep","The name mentions only the block even though the demonstrated step-and-stance sequence creates the qualifying stimulus.","High"
