"id","retired_name","name","practice","motion_profile","primary","secondary","side_sequence","mode","presentation","hold_frame_percent","media_source_id","file","url","source_page","start_seconds","duration_seconds","frames_per_second","crop","ping_pong","mirror_for_alternation","review"
"98","Penguin Balance March","Shibashi Side Shift with Overhead Scoop","Taiji Qigong Shibashi","OverheadScoop","ShoulderAbductors","ScapularGirdle|HipAbductors|AccessoryHipAdductors|AbdominalWall","Alternating","Repetition","Motion","0","","shibashi-set1.mp4","https://www.youtube.com/watch?v=PG1WGuzm7T0","https://www.youtube.com/watch?v=PG1WGuzm7T0","280","8","8","crop=ih:ih:(iw-ih)/2:0","false","false","The demonstrated sequence shifts through both sides inside one uninterrupted cycle, so it uses the alternating one-phase protocol."
"102","Low-Impact Squat Jack","Squat with Overhead Arm Sweep","Bodyweight conditioning","Squat","LateralKneeExtensors","MedialAndDeepKneeExtensors|GlutealExtensors|HipAbductors|ShoulderAbductors|ScapularGirdle","Continuous","Repetition","Motion","0","","growing-nojump.mp4","https://www.youtube.com/watch?v=HuYoYJX9pgU","https://www.youtube.com/watch?v=HuYoYJX9pgU","1950","8","8","crop=ih:ih:(iw-ih)/2:0","","false","The retained human clip plainly cycles through a squat, standing lateral arm sweep, and overhead reach."
"107","Half Squat","Wide Plie Squats","Ballet conditioning","PlieSquat","MedialAndDeepKneeExtensors","LateralKneeExtensors|GlutealExtensors|PelvicFloorAndPerineum","Continuous","Repetition","Motion","0","","2_lCvBvHRFI.mp4","https://www.youtube.com/watch?v=2_lCvBvHRFI","https://www.youtube.com/watch?v=2_lCvBvHRFI","15","20","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"115","Sissy Squat","Pistol Squat","Calisthenics","SingleLegSquat","LateralKneeExtensors","MedialAndDeepKneeExtensors|GlutealExtensors|HipFlexors|AbdominalWall|CalfDeepPosteriorLegAndPlantarFoot","ScreenLeftThenRight","Repetition","Motion","0","","pistol-squat.mp4","https://www.youtube.com/watch?v=H-8t44E0UxA","https://www.youtube.com/watch?v=H-8t44E0UxA","14.35","7.65","20","crop=ih:ih:(iw-ih)/2:0","false","false","A full-body unsupported human completes a controlled one-leg squat and returns to standing while only the planted foot touches the ground; the second side is mirrored."
"116","Cossack Squat","Alternating Cossack Squat","Bodyweight conditioning","CossackSquat","MajorHipAdductors","AccessoryHipAdductors|MedialAndDeepKneeExtensors|LateralKneeExtensors|GlutealExtensors|HipAbductors|DeepHipRotators","Continuous","Repetition","Motion","0","","alternating-cossack-squat-clear.mp4","https://www.youtube.com/watch?v=JdAoCU8wURA","https://www.youtube.com/watch?v=JdAoCU8wURA","0","10.5","8","crop=480:360:80:0","false","false","A full-body human alternates uninterrupted deep Cossack squats with both feet and leg roles continuously visible."
"117","Lateral Squat","Side-Lunge Hold","Bodyweight isometrics","SideLungeHold","LateralKneeExtensors","MedialAndDeepKneeExtensors|GlutealExtensors|MajorHipAdductors|HipAbductors","ScreenRightThenLeft","Hold","Still","5","","lateral-lunge.mp4","https://www.youtube.com/watch?v=Jky9kOx0L84","https://howcast.com/videos/513679-how-to-do-a-side-lunge-warrior-fitness/","68","4","10","","true","true","A full-body human settles into a deep side lunge; the final posture makes the working side, stance, and depth obvious before the timer mirrors it."
"120","Duck Walk","Split Squat Pulse","Bodyweight conditioning","SplitSquatPulse","MedialAndDeepKneeExtensors","LateralKneeExtensors|GlutealExtensors|PosteriorThighAndKneeFlexors|CalfDeepPosteriorLegAndPlantarFoot|AbdominalWall","ScreenRightThenLeft","Repetition","Motion","0","","split-squat-pulse.mp4","https://www.youtube.com/watch?v=Y6YDaqdhJ2U","https://www.youtube.com/watch?v=Y6YDaqdhJ2U","0.2","17.4","8","crop=ih:ih:(iw-ih)/2:0","false","false","Reviewed replacement: the exact human demonstration makes Split Squat Pulse immediately copyable without equipment, support, or excess travel."
"126","Back-Step Side Stretch","Squat to Alternating Side Kick","Bodyweight conditioning","SquatSideKick","HipAbductors","LateralKneeExtensors|MedialAndDeepKneeExtensors|GlutealExtensors|AbdominalWall","Continuous","Repetition","Motion","0","","squat-alternating-side-kick-clear.mp4","https://www.youtube.com/watch?v=7HdqB0YSi1o","https://www.youtube.com/watch?v=7HdqB0YSi1o","0","16.5","8","crop=ih*9/16:ih:(iw-ih*9/16)/2:0","false","false","A full-body human performs a deep bodyweight squat, rises into a controlled side kick, and repeats uninterrupted to the other side. Both feet and kick directions remain visible throughout the quiet, equipment-free sequence."
"133","Goddess Squat to Star Pose","Alternating Lateral Lunge with Overhead Reach","Bodyweight conditioning","LateralLungeReach","AccessoryHipAdductors","MajorHipAdductors|MedialAndDeepKneeExtensors|LateralKneeExtensors|GlutealExtensors|HipAbductors|ShoulderAbductors|ScapularGirdle|AbdominalWall","Continuous","Repetition","Motion","0","","alternating-lateral-lunge-overhead-reach.mp4","https://www.youtube.com/watch?v=6yc3U6qFGvU","https://www.youtube.com/watch?v=6yc3U6qFGvU","0","21.5","8","crop=480:360:80:0","false","false","The unobstructed full-body human alternates side lunges and raises both arms overhead on every repetition."
"135","Mountain Pose to Upward Salute","Overhead Squat Hold","Bodyweight isometrics","OverheadSquatHold","ShoulderAbductors","ScapularGirdle|RotatorCuff|LateralKneeExtensors|MedialAndDeepKneeExtensors|GlutealExtensors|AbdominalWall","Continuous","Hold","Still","38","","bodyweight-overhead-squat.mp4","https://www.youtube.com/watch?v=bRSDiH7cAiM","https://www.youtube.com/watch?v=bRSDiH7cAiM","2","21","10","","","false","A full-body human holds a deep squat with both arms fixed overhead, turning a weak arm gesture into an established whole-body shoulder-stability hold."
"146","Alternating Leg Curl with Back Squeeze","Bodyweight Good Morning","Bodyweight conditioning","HipHinge","PosteriorThighAndKneeFlexors","GlutealExtensors|SpinalExtensors|DeepAndIntersegmentalBack|AbdominalWall","Continuous","Repetition","Motion","0","","bodyweight-good-morning.mp4","https://www.youtube.com/watch?v=nczH_7m1TnI","https://www.youtube.com/watch?v=nczH_7m1TnI","10.5","15.8","8","crop=ih:ih:(iw-ih)/2:0","false","false","Reviewed replacement: the exact human demonstration makes Bodyweight Good Morning immediately copyable without equipment, support, or excess travel."
"150","Cross-Body Hip-Adduction Sweep","Wide-Squat Side-to-Side Shifts","Standing strength and mobility","WideSquatShift","AccessoryHipAdductors","MajorHipAdductors|HipFlexors","Continuous","Repetition","Motion","0","","2_lCvBvHRFI.mp4","https://www.youtube.com/watch?v=2_lCvBvHRFI","https://www.youtube.com/watch?v=2_lCvBvHRFI","465","20","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"159","Standing Fire Hydrant","Standing Hamstring Curl to Diagonal Extension","Standing strength and balance","LegCurlExtension","PosteriorThighAndKneeFlexors","GlutealExtensors|HipAbductors|DeepHipRotators|AbdominalWall","ScreenRightThenLeft","Repetition","Motion","0","","standing-fire-hydrant-no-equipment.mp4","https://www.youtube.com/watch?v=_nDwMxCHLnA","https://www.youtube.com/watch?v=_nDwMxCHLnA","0","11","10","","","true","The retained one-sided human clip clearly bends the raised knee and extends the foot diagonally back; the timed-side protocol supplies the other side."
"169","Standing Knee Drive","High-Knee Pulldown March","Low-impact conditioning","HighKneePulldown","HipFlexors","AbdominalWall","Continuous","Repetition","Motion","0","","FGB_9YVUmfY.mp4","https://www.youtube.com/watch?v=FGB_9YVUmfY","https://www.youtube.com/watch?v=FGB_9YVUmfY","75","25","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"176","Alternating Back Kick","Shibashi Squat with Diagonal Torso Turn","Taiji Qigong Shibashi","TorsoRotation","DeepHipRotators","DeepAndIntersegmentalBack|RotatorCuff|ScapularGirdle|AbdominalWall","Alternating","Repetition","Motion","0","","shibashi-set1.mp4","https://www.youtube.com/watch?v=PG1WGuzm7T0","https://www.youtube.com/watch?v=PG1WGuzm7T0","315","8","8","crop=ih:ih:(iw-ih)/2:0","false","false","From a shallow squat, the torso and both hands turn through both rear diagonals inside the same loop, so the demonstrated Shibashi pattern is alternating rather than a one-side phase."
"177","Roundhouse Kick Chamber","Standing Hip Airplane","Hip stability training","HipAirplane","DeepHipRotators","HipAbductors|GlutealExtensors|PosteriorThighAndKneeFlexors|SpinalExtensors|DeepAndIntersegmentalBack|AbdominalWall|CalfDeepPosteriorLegAndPlantarFoot","ScreenRightThenLeft","Repetition","Motion","0","","standing-hip-airplane-full-body.mp4","https://www.youtube.com/watch?v=orlH8p9llo4","https://www.youtube.com/watch?v=orlH8p9llo4","0","12","8","crop=ih*4/3:ih:0:0","false","false","Reviewed replacement: a single unsupported demonstrator keeps the planted foot, lifted leg, torso, and arm relationship visible throughout the Standing Hip Airplane."
"179","Axe-Kick Leg Raise","Hip-Hinge Rear-Leg Raises","Standing posterior-chain conditioning","HipHingeRearLegRaise","PosteriorThighAndKneeFlexors","HipFlexors|MedialAndDeepKneeExtensors|LateralKneeExtensors","ScreenLeftThenRight","Repetition","Motion","0","","2_lCvBvHRFI.mp4","https://www.youtube.com/watch?v=2_lCvBvHRFI","https://www.youtube.com/watch?v=2_lCvBvHRFI","315","20","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"180","Karate Front Snap Kick","Standing Front Snap Kicks","Karate","FrontSnapKick","LateralKneeExtensors","MedialAndDeepKneeExtensors|HipFlexors","ScreenRightThenLeft","Repetition","Motion","0","","chuck-norris-private-lesson.mp4","https://www.youtube.com/watch?v=TIo6D2CO6uI","https://www.youtube.com/watch?v=TIo6D2CO6uI","1050.4","10.4","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"182","Taekwondo Front-Kick Chamber","Capoeira Armada de Frente","Capoeira","MartialKick","HipFlexors","DeepHipRotators|AbdominalWall|HipAbductors|MajorHipAdductors","ScreenRightThenLeft","Repetition","Motion","0","","capoeira-armada-de-frente.mp4","https://www.youtube.com/watch?v=yVmPHq_VJ2Y","https://www.youtube.com/watch?v=yVmPHq_VJ2Y","3","13.5","8","crop=ih:ih:(iw-ih)/2:0","false","false","Reviewed replacement: the exact human demonstration makes Capoeira Armada de Frente immediately copyable without equipment, support, or excess travel."
"183","Taekwondo Side-Kick Chamber","Capoeira Queixada","Capoeira","MartialKick","HipAbductors","HipFlexors|DeepHipRotators|MajorHipAdductors|AbdominalWall|GlutealExtensors","ScreenRightThenLeft","Repetition","Motion","0","","capoeira-queixada.mp4","https://www.youtube.com/watch?v=msq6643BIGs","https://www.youtube.com/watch?v=msq6643BIGs","3","13.5","8","crop=ih:ih:(iw-ih)/2:0","false","false","Reviewed replacement: the exact human demonstration makes Capoeira Queixada immediately copyable without equipment, support, or excess travel."
"184","Tai Chi Heel Kick","Split-Squat Hold","Bodyweight isometrics","SplitSquatHold","MedialAndDeepKneeExtensors","LateralKneeExtensors|GlutealExtensors|PosteriorThighAndKneeFlexors|CalfDeepPosteriorLegAndPlantarFoot|AbdominalWall","ScreenRightThenLeft","Hold","Still","50","","split-squat-pulse.mp4","https://www.youtube.com/watch?v=Y6YDaqdhJ2U","https://www.youtube.com/watch?v=Y6YDaqdhJ2U","0.2","17.4","8","crop=480:360:0:0","false","false","A tightly cropped full-body human holds the bottom of a split squat with both feet and knee positions visible; the app mirrors the settled posture for the second side."
"185","Tai Chi Toe Kick","Shibashi Side-to-Side Cloud Hands","Taiji Qigong Shibashi","CloudHands","DeepHipRotators","DeepAndIntersegmentalBack|HipAbductors|AccessoryHipAdductors|ScapularGirdle|RotatorCuff","Continuous","Repetition","Motion","0","","shibashi-set1.mp4","https://www.youtube.com/watch?v=PG1WGuzm7T0","https://www.youtube.com/watch?v=PG1WGuzm7T0","390","8","8","crop=ih:ih:(iw-ih)/2:0","false","false","The body shifts side to side and rotates while the hands pass one another in large horizontal circles. Unused named chapter; distinct from retained generic torso twists and arm swings."
"186","Tai Chi Lotus Kick","Hip-Airplane Hold","Hip stability training","HipAirplaneHold","DeepHipRotators","HipFlexors|HipAbductors|GlutealExtensors|PosteriorThighAndKneeFlexors|SpinalExtensors|DeepAndIntersegmentalBack|AbdominalWall|CalfDeepPosteriorLegAndPlantarFoot","ScreenRightThenLeft","Hold","Still","50","","standing-hip-airplane-full-body.mp4","https://www.youtube.com/watch?v=orlH8p9llo4","https://www.youtube.com/watch?v=orlH8p9llo4","0","12","8","crop=480:360:0:0","false","false","A single unsupported full-body human settles into the open hip-airplane position; the long-lever balance posture is complete in one frame and mirrors cleanly."
"187","Second-Position Relevé Rise and Lower","Standing Heel-and-Toe Raises","Calf and ankle strengthening","HeelToeRaise","CalfDeepPosteriorLegAndPlantarFoot","Soleus|AnteriorLateralLowerLegAndDorsalFoot","Continuous","Repetition","Motion","0","","standing-heel-toe-raises.mp4","https://www.youtube.com/watch?v=hO69CIffzpY","https://www.youtube.com/watch?v=hO69CIffzpY","1.5","17.5","8","crop=ih*0.62:ih*0.62:(iw-ih*0.62)/2:ih*0.38","false","false","Reviewed replacement: the exact human demonstration makes Standing Heel-and-Toe Raises immediately copyable without equipment, support, or excess travel."
"191","Ballet Tendu Devant","Unsupported Standing Toe Raises","Foot and ankle strengthening","ToeRaise","AnteriorLateralLowerLegAndDorsalFoot","","Continuous","Repetition","Motion","0","","unsupported-standing-toe-raises.mp4","https://www.youtube.com/watch?v=3dq8XJKZr2U","https://www.youtube.com/watch?v=3dq8XJKZr2U","0.5","17.5","8","crop=ih:ih:iw-ih:0","false","false","Reviewed replacement: the exact human demonstration makes Unsupported Standing Toe Raises immediately copyable without equipment, support, or excess travel."
"192","Ballet Tendu a la Seconde","Alternating Lateral Lunge with Knee Drive","Bodyweight conditioning","LateralLungeKneeDrive","AccessoryHipAdductors","MajorHipAdductors|MedialAndDeepKneeExtensors|LateralKneeExtensors|GlutealExtensors|HipAbductors|HipFlexors|AbdominalWall|CalfDeepPosteriorLegAndPlantarFoot","Continuous","Repetition","Motion","0","","alternating-lateral-lunge-knee-drive.mp4","https://www.youtube.com/watch?v=tPQ53p6Pt38","https://www.youtube.com/watch?v=tPQ53p6Pt38","3.5","19","8","crop=ih:ih:(iw-ih)/2:0","false","false","Reviewed replacement: the exact human demonstration makes Alternating Lateral Lunge with Knee Drive immediately copyable without equipment, support, or excess travel."
"193","Ballet Tendu Derriere","Wide-Squat Floor-to-Overhead Reach","Standing mobility","SquatOverheadReach","SpinalExtensors","PosteriorThighAndKneeFlexors|GlutealExtensors|AbdominalWall|ShoulderAbductors","Continuous","Repetition","Motion","0","","6P_JPNPgXig.mp4","https://www.youtube.com/watch?v=6P_JPNPgXig","https://www.youtube.com/watch?v=6P_JPNPgXig","248","12","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"194","Ballet Degage Devant","Heel Walks","Gait retraining","HeelWalk","AnteriorLateralLowerLegAndDorsalFoot","DeepAndIntersegmentalBack","Continuous","Repetition","Motion","0","","heel-walks.mp4","https://www.youtube.com/watch?v=TMHQy60monc","https://www.youtube.com/watch?v=TMHQy60monc","0.3","13.6","8","crop=ih:ih:(iw-ih)/2:0","false","false","Reviewed replacement: the exact human demonstration makes Heel Walks immediately copyable without equipment, support, or excess travel."
"195","Ballet Degage a la Seconde","Side Lunge to Knee-Up Balance","Balance training","LateralLungeKneeUpBalance","HipAbductors","MajorHipAdductors|AccessoryHipAdductors|MedialAndDeepKneeExtensors|LateralKneeExtensors|GlutealExtensors|DeepHipRotators|HipFlexors|CalfDeepPosteriorLegAndPlantarFoot|AnteriorLateralLowerLegAndDorsalFoot|AbdominalWall","Alternating","Repetition","Motion","0","","side-lunge-knee-up-balance.mp4","https://www.youtube.com/watch?v=VVximx-YWeg","https://www.youtube.com/watch?v=VVximx-YWeg","0","15","10","crop=ih:ih:(iw-ih)/2:0","false","false","The full-body loop performs the side-lunge-to-knee-up pattern on both sides in alternation, so it belongs in one continuous movement phase rather than duplicated unilateral timers."
"196","Ballet Degage Derriere","B-Stance Squat","Bodyweight conditioning","BStanceSquat","GlutealExtensors","MedialAndDeepKneeExtensors|LateralKneeExtensors|HipAbductors|DeepHipRotators|AbdominalWall","ScreenRightThenLeft","Repetition","Motion","0","","bodyweight-b-stance-squat.mp4","https://www.youtube.com/watch?v=AIM8I8e2PHg","https://www.youtube.com/watch?v=AIM8I8e2PHg","4","15.5","8","crop=ih:ih:(iw-ih)/2:0","false","false","Reviewed replacement: the exact human demonstration makes B-Stance Squat immediately copyable without equipment, support, or excess travel."
"199","Horse-Stance Knee Bend","Wide-Stance Side-to-Side Squat","Bodyweight strength","SideLunge","AccessoryHipAdductors","MajorHipAdductors|MedialAndDeepKneeExtensors|LateralKneeExtensors|GlutealExtensors|HipAbductors","Continuous","Repetition","Motion","0","","horse-stance-knee-bend.mp4","https://www.youtube.com/watch?v=chzrS75C8a4","https://www.youtube.com/watch?v=chzrS75C8a4","1.5","7.25","12","","","false","The retained human clip keeps both feet planted in a wide stance while alternating a deep squat from one side through center to the other."
"201","Alternating Boxing Jab","Wide-Stance Tiptoe Hold","Calf isometrics","WideStanceTiptoeHold","CalfDeepPosteriorLegAndPlantarFoot","Soleus|MajorHipAdductors|AccessoryHipAdductors|MedialAndDeepKneeExtensors|LateralKneeExtensors|GlutealExtensors|AbdominalWall","Continuous","Hold","Still","5","","sumo-squat-calf-raise-exact.mp4","https://www.youtube.com/watch?v=Ca6XoQfOJ04","https://www.youtube.com/watch?v=Ca6XoQfOJ04","5","0.5","20","crop=300:300:170:50","false","false","A clean front-view crop shows both heels visibly raised in a wide turned-out stance; no choreography, title overlay, or hidden effort is required."
"203","Alternating Boxing Hook","Shibashi Split-Stance Wing Open","Taiji Qigong Shibashi","ChestOpen","ShoulderAdductorsAndExtensors","ScapularGirdle|ShoulderAbductors|Chest|GlutealExtensors|MedialAndDeepKneeExtensors|LateralKneeExtensors","ScreenLeftThenRight","Repetition","Motion","0","","shibashi-set1.mp4","https://www.youtube.com/watch?v=PG1WGuzm7T0","https://www.youtube.com/watch?v=PG1WGuzm7T0","500","8","8","crop=ih:ih:(iw-ih)/2:0","false","false","From a bent-knee staggered stance, both arms open broadly to the sides and close again as the weight shifts. Unused named chapter; one-side clip is suitable for the existing timed-side protocol."
"211","Karate Backfist Strike (Uraken-Uchi)","Bent-Elbow Wrist-Flexion Stretch","Wrist stretching","WristFlexionStretch","ForearmExtensorsAndSupinators","IntrinsicHand","ScreenLeftThenRight","Hold","Still","50","","assisted-wrist-flexion-extension-glides.mp4","https://www.youtube.com/watch?v=4ZCF49cyjFk","https://www.youtube.com/watch?v=4ZCF49cyjFk","47","1","10","crop=540:540:280:170","false","false","A close human view shows the opposite hand holding the bent working wrist downward in flexion; the static endpoint and timed side change are immediately readable."
"212","Karate Palm-Heel Strike (Teisho)","Unsupported Sissy Squat","Bodyweight strength","SissySquat","LateralKneeExtensors","MedialAndDeepKneeExtensors|Soleus|AbdominalWall","Continuous","Repetition","Motion","0","","unsupported-sissy-squat.mp4","https://www.youtube.com/watch?v=O5pGabUeFtg","https://www.youtube.com/watch?v=O5pGabUeFtg","3.25","14.5","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full-body unsupported human completes four controlled sissy-squat repetitions: heels rise, knees travel forward, the extended hips and trunk lean back together, and only the feet contact the floor."
"213","Karate Hammer-Fist Strike (Tetsui-Uchi)","Bent-Elbow Wrist-Extension Stretch","Wrist stretching","WristExtensionStretch","ForearmFlexorsAndPronators","IntrinsicHand","ScreenLeftThenRight","Hold","Still","50","","assisted-wrist-flexion-extension-glides.mp4","https://www.youtube.com/watch?v=4ZCF49cyjFk","https://www.youtube.com/watch?v=4ZCF49cyjFk","49","1","10","crop=540:540:280:170","false","false","A close human view shows the opposite hand holding the bent working wrist back in extension; the static endpoint and timed side change are immediately readable."
"214","Wing Chun Biu-Sau Palm Strike","Inward Wrist Circles","Hand mobility","WristCircle","ForearmFlexorsAndPronators","ForearmExtensorsAndSupinators","ScreenRightThenLeft","Repetition","Motion","0","","standing-wrist-circles.mp4","https://www.youtube.com/watch?v=wRSk1_C6yOM","https://www.youtube.com/watch?v=wRSk1_C6yOM","0.5","18","10","crop=ih:ih:(iw-ih)/2:0","false","false","The close human-hand demonstration repeatedly traces large, visible inward wrist circles; the timed second side supplies the other hand."
"215","Self-Resisted Wrist Radial-Deviation Pulses","Forearm Pronation-Supination Flow","Forearm mobility","ForearmRotation","ForearmFlexorsAndPronators","ForearmExtensorsAndSupinators","ScreenRightThenLeft","Repetition","Motion","0","","airborne-forearm-pronation-supination.mp4","https://www.youtube.com/watch?v=TaUlull7E5M","https://www.youtube.com/watch?v=TaUlull7E5M","9","8","10","crop=ih*0.56:ih*0.56:(iw-ih*0.56)/2:ih*0.22","false","false","A close human demonstration repeatedly turns one forearm from palm-down to palm-up and back; the timed second phase mirrors the same visible path for the other arm."
